X,Y,AGENCY_NAM,AGENCY_N_1,ADDRESS,PROGRAM
-76.94220249,38.8639607,Maple Springs Baptist Church,,4131 Belt Road,Shopping
-77.12053299,38.863167,Gates of Ballston Community Center,,4108 4th Street North,Direct Distributions
-77.13228339,38.8629519,Carlin Springs ES,,5995 5th Rd,Direct Distributions
-76.99130189,38.8629709,The Salvation Army - Solomon G Brown,,2300 MLK Ave SE,Shopping & Direct Distribution
-76.99036889,38.8627978,Children of Mine,,2263 Mount View Pl SE,Shopping & Direct Distribution
-76.95859949,38.8624772,East Washington Heights Baptist,,2220 Branch Ave  SE,Shopping
-76.9937866,38.862346,Thurgood Marshall Academy,,2427 Martin Luther King Ave SE,Direct Distributions
-76.95004599,38.861804,Green Spaces for DC,,"3810 Southern Ave., SE",Shopping
-77.09070119,38.8617752,Arlington Peers Helping Peers in Recovery,,3219 Columbia Pike Suite 101,Shopping
-76.98376149,38.8618024,CPDC - Cedar Heights,,1510 Butler St SE,Shopping & Direct Distribution
-77.07094339,38.8617724,Carver Community Center - Youth,,1415 S Queen St,Direct Distributions
-77.127931,38.861677,CNP Provider Torrico,,5809 5th Road,Shopping
-76.986176,38.861699,Fredrick Douglass Residential Site,,1427 Cedar ST SE,Direct Distributions
-76.93348129,38.8613036,Galilee Community Development Corporation,,2101 Shadyside Ave,Shopping & Direct Distribution
-76.91049999,38.860975,Life in Victory Outreach Ministries,,5600 Marlboro Pike,Shopping
-76.89183189,38.8608282,Woodland Springs Apartment,,6617 Atwood Street,Direct Distributions
-76.996697,38.860661,Barry Farm Rec Center,,1230 Sumner Rd SE,Direct Distributions
-77.12753879,38.8600655,Community Church of God,,790 South Carlin Springs Road,Shopping
-76.985248,38.859723,Carver Hall,,2338 Pitts Pl SE,Direct Distributions
-76.98501799,38.859331,New United Baptist Church,,"2233 Hunter Pl., SE",Shopping
-76.9686199,38.8592905,Stanton Elementary School,,2701 Naylor Road SE,Direct Distributions
-76.99904219,38.8586112,CHOICE Inc,,1329 Steven Rd SE,Direct Distributions
-76.88948,38.858063,Angel Square Assisted Living,,2306 Breton Drive,Shopping
-77.12112439,38.8580139,Greenbrier Learning Center,,5401 7th Rd S,Direct Distributions
-77.086198,38.857897,Walter Reed Community Center- Teens,,2909 S. 16th St.,Direct Distributions
-76.98234069,38.8577868,Our Lady of Perpetual Help Church,,1600 Morris Rd SE,Shopping
-77.109772,38.857299,Greenbrier Learning Center @ Buchanan Gardens,,926 S. Buchanan St,Direct Distributions
-77.13864689,38.8571225,St. Anthony of Padua Catholic Church,,3305 Glen Carlyn Road,Shopping & Direct Distribution
-76.97031809,38.8568559,Allen Chapel AME Church,,2498 Alabama Ave SE,Shopping & Direct Distribution
-77.112086,38.856391,Arlington Mill Community Center,Greenbrier Learning Center,909 S Dinwiddie St,Direct Distributions
